Дата,Эффективное энергопотребление,Ожидаемое энергопотребление,Разница в энергопотреблении (эффективная-ожидаемая),Интервал прогноза низкий,Интервал прогноза высокий,Набор данных обучения или прогнозирования,Эффективное скользящее среднее энергопотребления,Интервал прогноза - низкое скользящее среднее,Интервал прогноза с высоким скользящим средним
2014-02-26,4332218.01749996,4330146.51073598,2071.50676397979,4085182.34832833,4546615.2937254,t,,,
2014-03-03,4146003.37499998,4158611.71829272,-12608.3432927369,3931124.55102713,4384137.63379517,t,,,
2014-03-07,4174025.1975,4078034.53971014,95990.6577898553,3869483.42145066,4301496.39228443,t,,,
2014-03-16,3238205.18250001,3339106.70006048,-100901.517560471,3117688.47365,3555379.90290505,t,,,
2014-03-18,4195068.9225,4152693.00696603,42375.915533979,3918280.02609103,4388429.40956993,t,,,
2014-03-21,4186389.0625,4135191.85499132,51197.2075086767,3915383.46853352,4345458.65963995,t,,,
2014-03-23,3321687.76,3420391.93881356,-98704.1788135618,3204551.96908924,3653162.40569215,t,,,
2014-03-27,4275101.72750001,4181168.66633247,93933.0611675405,3960862.58493408,4416396.84895361,t,,,
2014-03-31,4230483.77999997,4080946.1291419,149537.650858069,3841374.83434824,4321610.08306646,t,,,
2014-04-01,4302543.24000003,4150572.06555667,151971.174443365,3933312.14937988,4371540.12516721,t,,,
2014-04-05,3642381.83999999,3740637.08559095,-98255.245590956,3511770.57003548,3954406.84083267,t,,,
2014-04-06,3228562.38000004,3273848.60250274,-45286.2225027061,3029365.04686637,3506354.5532735,t,,,
2014-04-07,4198560.70999997,4121971.25887015,76589.4511298114,3902555.26035295,4350473.92849598,t,,,
2014-04-11,4082333.52750003,4072986.23931924,9347.28818078525,3852815.66846226,4305762.77584714,t,,,
2014-04-14,3985578.50500001,4061411.41019507,-75832.9051950574,3855145.4141731,4289975.21685719,t,,,
2014-04-16,3987278.12750002,4102612.20571218,-115334.078212156,3879948.07031799,4334594.1063947,t,,,
2014-04-17,3699671.28999999,3995293.31070022,-295622.020700238,3774213.59764255,4214385.51278169,t,,,
2014-04-21,3142983.50000001,3326463.28196475,-183479.781964739,3107285.27494511,3564983.54203747,t,,,
2014-04-22,3962799.65999999,4008858.24456368,-46058.5845636828,3784319.55847037,4228870.78627927,t,,,
2014-04-25,4011769.87249999,3976614.57577461,35155.2967253849,3763127.63734484,4201882.47928404,t,,,
2014-04-27,3154018.795,3367321.15312414,-213302.358124137,3134325.09083484,3590306.99285818,t,,,
2014-05-01,3345614.91249999,3685681.67522727,-340066.762727288,3459199.40262229,3905715.40836278,t,,,
2014-05-03,3516966.69750002,3742983.17489019,-226016.477390164,3522161.6007362,3965140.97105923,t,,,
2014-05-06,4097080.42749998,4197874.65037283,-100794.222872849,3976721.94983483,4414205.7083775,t,,,
2014-05-08,4126860.50749998,4138229.04368223,-11368.5361822541,3910368.02586974,4355595.73022058,t,,,
2014-05-15,4114019.47749996,4204771.29616523,-90751.8186652712,3983961.05611717,4428181.85303564,t,,,
2014-05-17,3446852.21250001,3565048.52667073,-118196.314170719,3341234.13025229,3795819.06877175,t,,,
2014-05-22,4193077.69000003,4182570.19860828,10507.4913917482,3957303.60969978,4399167.13014498,t,,,
2014-05-28,3949059.565,4122453.6766262,-173394.111626197,3910686.6912013,4326549.06104764,t,,,
2014-05-30,3691326.45100002,4096572.38941527,-405245.938415252,3883906.12317126,4320878.85121941,t,,,
2014-05-31,3287829.34799999,3482557.20656719,-194727.8585672,3258510.33916534,3711626.88163676,t,,,
2014-06-04,4165254.95750001,4231951.08992817,-66696.132428159,4008514.26727063,4458026.25821954,t,,,
2014-06-07,3574196.3375,3873093.22311622,-298896.885616216,3633413.03541146,4095600.44783599,t,,,
2014-06-08,3224871.81500002,3495106.0182862,-270234.203286178,3278616.71147,3708270.51502045,t,,,
2014-06-09,3526567.2125,3722184.27609786,-195617.063597851,3505044.87860257,3944307.043003,t,,,
2014-06-10,4502445.50999999,4564339.27759979,-61893.7675998025,4345526.49693793,4802076.21768046,t,,,
2014-06-11,4540556.50249999,4428396.53769262,112159.96480737,4201510.77043394,4654016.6397173,t,,,
2014-06-12,4619639.8875,4401737.67352476,217902.213975234,4189262.43281367,4615961.2353965,t,,,
2014-06-20,4235065.2775,4132040.2287024,103025.048797597,3923508.42968721,4350250.92873145,t,,,
2014-07-19,3631138.42750001,3879152.42645368,-248013.998953677,3654505.76657067,4106659.05162085,t,,,
2014-07-21,4134099.80249999,4078047.53568862,56052.2668113732,3862765.26880038,4312404.74767871,t,,,
2014-07-23,4220447.89999997,4251097.08342114,-30649.1834211694,4014041.75065888,4475254.92496681,t,,,
2014-07-26,3487892.53499999,3621280.48640825,-133387.951408256,3400914.89717212,3838393.16892328,t,,,
2014-07-28,4098400.10000002,4112301.31373635,-13901.213736333,3896232.39255642,4334361.2940532,t,,,
2014-08-03,3145025.65750002,3317427.62116266,-172401.963662643,3090612.44516273,3548848.93398647,t,,,
2014-08-04,4019638.83499997,4086291.25866354,-66652.4236635678,3870383.32886911,4314071.25282227,t,,,
